# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: tr_depth, datatype: float64}
# - {name: tr_depth_errneg, datatype: float64}
# - {name: tr_depth_errpos, datatype: float64}
# - {name: ecl_depth, datatype: float64}
# - {name: ecl_depth_errneg, datatype: float64}
# - {name: ecl_depth_errpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width tr_depth tr_depth_errneg tr_depth_errpos ecl_depth ecl_depth_errneg ecl_depth_errpos
3.0084999999999997 0.011500000000000066 0.021618167865373232 8.045697170676672e-05 8.184474482473766e-05 nan nan nan
3.032 0.01200000000000001 0.021716452485530703 8.015913272355762e-05 7.922420715174294e-05 nan nan nan
3.056 0.01200000000000001 0.02151285644260273 7.059927530193855e-05 7.044987793358021e-05 nan nan nan
3.0795000000000003 0.011500000000000066 0.021558063055816066 7.799055634085533e-05 7.483050359591986e-05 nan nan nan
3.1025 0.011499999999999844 0.02145627903484126 0.00010390274292745513 0.00010307919919556874 nan nan nan
3.126 0.01200000000000001 0.021355571748443172 7.830491788311453e-05 7.67768192744718e-05 nan nan nan
3.1494999999999997 0.011500000000000066 0.021528300191212425 7.937330131923062e-05 8.143590629733008e-05 nan nan nan
3.1734999999999998 0.011500000000000066 0.02130619953060667 8.066740403645314e-05 8.337455730265259e-05 nan nan nan
3.1965000000000003 0.011500000000000066 0.02137070423633587 8.640782242585326e-05 8.298815219978661e-05 nan nan nan
3.22 0.01200000000000001 0.02139124164796016 8.026207127501475e-05 8.297281586368624e-05 nan nan nan
3.2439999999999998 0.011999999999999789 0.021226761809888268 8.070246981200721e-05 8.390847543790839e-05 nan nan nan
3.2675 0.011500000000000066 0.021078161477790448 8.766498375926621e-05 8.592780667019545e-05 nan nan nan
3.2904999999999998 0.011500000000000066 0.021115106553321546 9.110743378426892e-05 9.043741303329383e-05 nan nan nan
3.314 0.01200000000000001 0.02128380252288 8.367805023628064e-05 8.540511388677521e-05 nan nan nan
