# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.13273120932473903 0.9997763868362242 0.00034026239376955464 1.0 1.0031517404042363 1.0000001544025907 -0.0002237675663665506
3.017 -0.13204567441909676 1.0003859163694575 0.00034026541000405157 1.0 1.0031428481078226 1.0000001552621165 0.00038576110734100943
3.017 -0.1313601390477932 1.0005584832912773 0.0003402684668922764 1.0 1.0031338361191766 1.0000001562766854 0.0005583270145919084
3.017 -0.13067460367648964 1.0001891462877963 0.00034027150020149156 1.0 1.0031248938036805 1.000000156950544 0.00018898933725242095
3.017 -0.12998906830518608 0.9999914838540095 0.0003402745544826608 1.0 1.0031158898231207 1.0000001584311582 -8.67457714870401e-06
3.017 -0.1293035333995438 1.0002882069005568 0.0003402776036357151 1.0 1.003106901121406 1.0000001591960868 0.00028804770446999584
3.017 -0.12861799849390154 1.0002167643593964 0.0003402806371124874 1.0 1.0030979587921849 1.000000159804046 0.00021660455535044143
3.017 -0.12793246312259798 1.0003336851133289 0.0003402835961125073 1.0 1.0030892361651937 1.0000001602321529 0.000333524881175995
3.017 -0.12724692775129443 1.0000827722378653 0.0003402865958466912 1.0 1.0030803936156842 1.0000001609882039 8.261124966146838e-05
3.017 -0.12656139284565215 1.0001413858601138 0.00034028958203779754 1.0 1.0030715911430008 1.000000161398052 0.00014122446206177308
3.017 -0.12587585794000988 1.0000029902552927 0.0003402925567460235 1.0 1.0030628226723004 1.0000001622595218 2.82799577089321e-06
3.017 -0.12519032256870632 1.0002390566609713 0.00034029554790963943 1.0 1.0030540058510458 1.0000001620034484 0.0002388946575229145
3.017 -0.12450478719740277 1.000644661061931 0.0003402985431422444 1.0 1.0030451771912603 1.0000001628357829 0.0006444982261482046
3.017 -0.1238192522917605 0.9993520268546406 0.0003403014990913624 1.0 1.0030364644746994 1.0000001637700826 -0.0006481369154419658
3.017 -0.12313371738611822 0.999449021190144 0.00034030448970412863 1.0 1.0030276497404058 1.0000001646888048 -0.000551143498660811
3.017 -0.12244818201481467 1.000038046360948 0.0003403074615628404 1.0 1.0030188904365536 1.0000001657885071 3.7880572440807114e-05
3.017 -0.12176264664351111 0.9999786152506844 0.00034031040348212133 1.0 1.0030102195273403 1.0000001665553115 -2.1551304627109857e-05
3.017 -0.12107711127220755 0.9999631580957274 0.00034031335369600783 1.0 1.003001524321449 1.0000001657575535 -3.7007661826016225e-05
3.017 -0.12039157636656528 1.0001080469693415 0.000340316294458357 1.0 1.0029928571222377 1.0000001664927427 0.00010788047659882061
3.017 -0.11970604146092301 0.9996724839984013 0.00034031919044419335 1.0 1.0029843220375592 1.0000001665566811 -0.0003276825582798626
3.017 -0.11902050608961945 1.0000440899167344 0.00034032210626391043 1.0 1.0029757286449812 1.0000001675436991 4.392237303529889e-05
